"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2023-04-10","12:26","서울","강동구","풍산로(북→남)","서울특별시 강동구 강일동 36-17 도","서울특별시 강동구 강일동 472-1전","17","31","16","매우좋음"
"2023-04-10","12:36","서울","강동구","상일로(북→남)","서울특별시 강동구 고덕동 140-1 도","서울특별시 강동구 상일동 359-3 도","18","31","14","매우좋음"
"2023-04-10","12:41","서울","강동구","천호대로(동→서)","서울특별시 강동구 상일동 394-4도","서울특별시 강동구 천호동 527-3천","18","31","10","매우좋음"
"2023-04-10","13:02","서울","강동구","성내로(서→동)","서울특별시 강동구 성내동 62-1도","서울특별시 강동구 성내동 435도","19","31","10","매우좋음"
"2023-04-10","13:12","서울","강동구","강동대로(동→서)","둔촌동 229-2임","성내동 459-10대","20","31","9","매우좋음"
"2023-04-10","13:18","서울","강동구","올림픽로(남→북)","서울특별시 강동구 성내동 472도","서울특별시 강동구 암사동 98-20도","19","32","48","매우좋음"
"2023-04-10","13:35","서울","강동구","양재대로(북→남)","서울특별시 강동구 고덕동 469도","서울특별시 강동구 둔촌동 522-13 도","20","31","12","매우좋음"
"2023-04-10","13:56","서울","강동구","동남로(남→북)","서울특별시 강동구 둔촌동 229-2 도","서울특별시 강동구 고덕동 302-3 도","20","32","10","매우좋음"
"2023-04-10","14:18","서울","강동구","고덕로(동→서)","서울특별시 강동구 강일동 472-1전","서울특별시 강동구 암사동 608-62도","20","32","11","매우좋음"
"2023-04-10","14:42","서울","강동구","천중로(서→동)","서울특별시 강동구 천호동 256-4도","서울특별시 강동구 길동 12-5도","20","31","38","매우좋음"
"2023-04-10","10:17","경기","김포시","아라육로152번길(북→남)","경기도 김포시 고촌읍 신곡리 686 도","경기도 김포시 고촌읍 신곡리 686 도","14","37","40","매우좋음"
"2023-04-10","10:26","경기","김포시","아라육로(북→남)","경기도 김포시 고촌읍 전호리 87-8 도","경기도 김포시 고촌읍 전호리 618-37 도","15","38","2","매우좋음"
"2023-04-10","10:38","경기","김포시","아라육로58번길(서→동)","경기도 김포시 고촌읍 전호리 755 도","경기도 김포시 고촌읍 전호리 755 도","15","38","45","매우좋음"
"2023-04-10","10:47","경기","김포시","수기로(북→남)","경기도 김포시 고촌읍 신곡리 281-33도","경기도 김포시 고촌읍 신곡리 996-5 임","15","41","26","매우좋음"
"2023-04-10","11:11","경기","김포시","풍무로68번길(동→서)","경기도 김포시 고촌읍 태리 440-2 도","경기도 김포시 풍무동 808 도","14","45","23","매우좋음"
"2023-04-10","11:25","경기","김포시","풍무로(북→남)","경기도 김포시 사우동 838-45도","경기도 김포시 풍무동 723-1도","16","41","15","매우좋음"
