rank,singer,title
1,IVE (아이브),I AM
2,IVE (아이브),Kitsch
3,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
4,세븐틴 (SEVENTEEN),손오공
5,지수 (JISOO),꽃
6,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
7,NewJeans,Ditto
8,NewJeans,Hype boy
9,NewJeans,OMG
10,허각,물론
11,볼빨간사춘기,FRIEND THE END
12,박재정,헤어지자 말해요
13,임영웅,사랑은 늘 도망가
14,STAYC(스테이씨),Teddy Bear
15,윤하 (YOUNHA),사건의 지평선
16,Agust D,사람 Pt.2 (feat. 아이유)
17,던 (DAWN),빛이 나는 너에게
18,세븐틴 (SEVENTEEN),F*ck My Life
19,Charlie Puth,I Don't Think That I Like Her
20,임영웅,우리들의 블루스
21,임재현,Heaven(2023)
22,DK(디셈버),심(心)
23,IVE (아이브),After LIKE
24,Zior Park,CHRISTIAN
25,FIFTY FIFTY,Cupid
26,임영웅,다시 만날 수 있을까
27,LE SSERAFIM (르세라핌),ANTIFRAGILE
28,임영웅,London Boy
29,임영웅,Polaroid
30,Charlie Puth,Dangerously
31,임영웅,이제 나만 믿어요
32,NewJeans,Attention
33,임영웅,무지개
34,IVE (아이브),LOVE DIVE
35,지민,Like Crazy
36,NMIXX,Love Me Like This
37,임영웅,아버지
38,imase,NIGHT DANCER
39,이채연,KNOCK
40,임영웅,인생찬가
41,임영웅,A bientot
42,비투비,나의 바람 (Wind And Wish)
43,세븐틴 (SEVENTEEN),먼지
44,임한별,사랑하지 않아서 그랬어
45,임영웅,손이 참 곱던 그대
46,임영웅,사랑해 진짜
47,임영웅,연애편지
48,멜로망스,사랑인가 봐
49,지아,사랑하기 싫어
50,방탄소년단,Dynamite
51,세븐틴 (SEVENTEEN),April shower
52,임영웅,보금자리
53,성시경,너의 모든 순간
54,V.O.S,안녕이라고 말하지마
55,세븐틴 (SEVENTEEN),I Don't Understand But I Luv U
56,우디 (Woody),Nostalgia
57,세븐틴 (SEVENTEEN),Fire
58,방탄소년단,봄날
59,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
60,NCT DREAM,Candy
61,#안녕,해요 (2022)
62,NCT 도재정,Perfume
63,방탄소년단,Butter
64,주주 시크릿,밤이 무서워요 (Lonely Night)
65,(여자)아이들,Nxde
66,우디 (Woody),Say I Love You
67,Charlie Puth,That's Hilarious
68,LE SSERAFIM (르세라핌),FEARLESS
69,The Kid LAROI,STAY
70,DK(디셈버),발걸음
71,테이,Monologue
72,태양,VIBE (feat. Jimin of BTS)
73,세븐틴 (SEVENTEEN),HOT
74,j-hope,on the street (with J. Cole)
75,10CM,그라데이션
76,IVE (아이브),ELEVEN
77,BLACKPINK,Shut Down
78,김민석 (멜로망스),취중고백
79,방탄소년단,Permission to Dance
80,주호,내가 아니라도
81,#안녕,가질 수 없는 너
82,지코 (ZICO),새삥 (Prod. ZICO) (Feat. 호미들)
83,BLACKPINK,Pink Venom
84,BIG Naughty (서동현),정이라고 하자 (Feat. 10CM)
85,(여자)아이들,TOMBOY
86,한동근,다시 사랑한다면
87,송하예,너를 보는게 지친 하루에
88,포맨 (4MEN),나비무덤
89,NewJeans,Zero
90,경서예지,다정히 내 이름을 부르면
91,WSG워너비 (가야G),그때 그 순간 그대로 (그그그)
92,Agust D,해금
93,윤하 (YOUNHA),오르트구름
94,NewJeans,Cookie
95,폴킴,"모든 날, 모든 순간 (Every day, Every Moment)"
96,태양,나의 마음에 (Seed)
97,김호중,그중에 그대를 만나
98,정국,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
99,Say Yes!,Say My Name
100,Aimyon,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가)
